 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 473 14 3 ZTF_r 1542357745515 0 2.9552 239.041 8.56757 26.203 1.54593e-05 0.032236 0.119556 2.4205e-05 403 30. 0.096121 0.084597 19.7374 26.203 1 2459296.8577431 473120255 -24.3555177841587 51.4883063442209 -0.526191176830388 1.08986831718459 -154.899737451093 76.3668756610933 -2.04202404177203 1.10622699968305 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 10 473 14 3 ZTF_g 1544333745515 0 2.0115 121.339 14.9537 26.1791 4.10816e-05 0.0487068 -0.0461131 7.92509e-05 326 30. 0.086393 0.078888 19.4032 26.1791 1 2459298.83375 473120155 -125.645171987359 65.6469684743091 -2.1290503427747 1.00510335234932 -380.275825359589 120.293122757679 -3.18253443044883 1.05934200641312 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 11 473 14 3 ZTF_r 1544378505515 0 1.9727 213.328 14.7777 26.1007 1.68926e-05 0.0335154 0.100103 2.63971e-05 401 30. 0.088103 0.083871 19.3397 26.1007 1 2459298.8785069 473120255 0.332182403097779 63.0139371510929 0.00586401143081088 1.05162991061005 -100.603854253579 116.419731440612 -0.869967880417905 1.05232128216342 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 12 473 14 3 ZTF_g 1549358905515 0 2.177 140.481 19.7395 26.3513 3.46729e-05 0.0404046 -0.0499572 7.35352e-05 278 30. 0.087254 0.075563 19.2006 26.3513 1 2459303.8589005 473120155 2893.51670194889 98.8508351394782 32.561203747158 1.11424571550206 3019.47895871321 168.786699252997 18.00980371486 1.07154448135577 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 13 473 14 3 ZTF_g 1551277125515 33554432 2.2732 67.2124 11.4195 25.5371 0.000303959 0.11434 0.00148041 0.00064301 250 30. 0.091448 0.082074 18.9718 25.5371 1 2459305.7771296 473120155 6775.12717198763 69.3524985226814 108.670118549555 3.21678162650268 7219.83167338366 99.4954213101195 73.0531873666933 1.07487923931037 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 14 473 14 3 ZTF_r 1553253955515 0 1.7274 249.03 6.40873 26.2602 1.00007e-05 0.0257517 0.112368 1.57093e-05 398 30. 0.079935 0.071277 20.5369 26.2602 1 2459307.7539583 473120255 30244.0709482937 98.5703836790581 341.309677351472 70.6499085460753 28484.1527131609 94.604072459687 303.115863566409 1.04652957232323 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 15 473 14 3 ZTF_g 1553297235515 0 2.7386 141.781 4.89813 26.36 2.17796e-05 0.0376042 -0.0422916 3.50564e-05 392 30. 0.095544 0.077905 20.5443 26.36 1 2459307.7972338 473120155 30642.1688033289 98.1893144634532 347.144328172723 33.3160349947472 31518.1994938375 96.1981028442726 329.845136677915 1.08171062811972 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 16 473 14 3 ZTF_r 1555277325515 0 1.9838 249.072 6.44381 26.2584 1.02431e-05 0.0259344 0.111624 1.60566e-05 398 30. 0.079229 0.073192 20.4233 26.2584 1 2459309.7773264 473120255 55248.9683141199 130.26879978985 471.778952644368 103.723907926511 54136.8407886651 119.884927865471 454.614741790508 1.05509242190345 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 17 473 14 3 ZTF_g 1555309155515 0 2.5635 141.014 5.2502 26.3405 1.44213e-05 0.0308753 -0.0497658 2.32474e-05 395 30. 0.085508 0.080407 20.5295 26.3405 1 2459309.8091551 473120155 54876.6866105351 129.752930576517 470.463036024695 49.958483339359 57586.9711983841 120.751650027265 480.116195096098 1.08596587234291 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 18 473 14 3 ZTF_g 1557233505515 0 2.2019 117.428 5.64992 26.1451 1.29563e-05 0.0293499 -0.0482554 2.07882e-05 393 30. 0.077785 0.080182 20.3709 26.1451 1 2459311.7335069 473120155 74108.5030829671 147.465549291779 559.026337405444 118.339235467993 74589.4949453879 130.902571764477 573.646938124728 1.06335231448423 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 19 473 14 3 ZTF_r 1557312265515 0 1.7333 247.923 5.94796 26.2456 1.17675e-05 0.0279262 0.108192 1.8567e-05 399 30. 0.078697 0.074413 20.6103 26.2456 1 2459311.8122685 473120255 88328.9150710636 161.642395293632 607.858396088771 283.344058158327 84364.7482751748 142.973068111876 594.048591321175 1.04521844184058 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 20 473 14 3 ZTF_g 1559255645515 0 2.0286 127.656 5.37587 26.2339 1.00777e-05 0.025961 -0.0416145 1.60205e-05 397 30. 0.077639 0.07535 20.5895 26.2339 1 2459313.7556481 473120155 111435.856944578 181.007531353512 684.830529661884 208.010203970377 111987.960906704 155.626764318938 724.439698788424 1.06354554763964 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 24 473 14 3 ZTF_g 1563252405515 0 2.1084 140.308 4.07095 26.335 1.06699e-05 0.0265708 -0.0570029 1.69524e-05 396 30. 0.085578 0.079933 20.948 26.335 1 2459317.7524074 473120155 168372.303999455 220.712149946609 848.592550004642 328.119244515026 169050.462828156 187.359947839098 908.3533027441 1.06477803709778 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 25 473 14 3 ZTF_r 1563330835515 0 2.3281 245.435 5.22235 26.2452 7.795e-06 0.0226293 0.106982 1.22787e-05 398 30. 0.085566 0.073185 20.472 26.2452 1 2459317.8308333 473120255 147268.23401107 207.412354325885 789.822058727931 247.032855794103 147303.514997827 184.871014890656 802.157183667452 1.05882139642994 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 26 473 14 3 ZTF_g 1567270935515 0 1.6815 134.769 4.81937 26.2913 9.6144e-06 0.0251397 -0.0492264 1.50579e-05 398 30. 0.07408 0.072277 20.8636 26.2913 1 2459321.7709375 473120155 177068.13693185 225.568797149976 873.204962538635 648.186155508763 172706.51172534 184.778364602319 940.963518064829 1.05674229878439 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 27 473 14 3 ZTF_r 1567298445515 0 1.6367 241.083 5.74974 26.2281 1.05422e-05 0.0263591 0.105578 1.65595e-05 400 30. 0.079687 0.073545 20.6692 26.2281 1 2459321.7984491 473120255 158410.933981956 212.336709718125 829.879185870775 778.967729122991 149855.371920737 177.152599376057 851.608483329592 1.04202165230811 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 28 473 14 3 ZTF_g 1569278365515 0 2.5303 136.259 6.55621 26.3054 1.61577e-05 0.0326058 -0.0243608 2.59054e-05 394 30. 0.082229 0.083633 20.2575 26.3054 1 2459323.7783681 473120155 160589.250464222 218.249963278038 818.497001726579 172.284398339056 168765.759872876 197.984251584536 858.161220479682 1.08602977900481 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 29 473 14 3 ZTF_r 1569316045515 0 1.8817 242.34 7.1241 26.2301 9.6599e-06 0.0252204 0.112503 1.51326e-05 398 30. 0.081421 0.072213 20.3272 26.2301 1 2459323.8160417 473120255 154649.805209523 213.78057230542 804.703597792427 453.733535081683 149551.397290182 182.619362003896 824.43960434023 1.05331973968112 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 30 473 14 3 ZTF_r 1571277635515 0 2.0596 247.775 8.38168 26.2692 1.15444e-05 0.0275572 0.105959 1.81878e-05 398 30. 0.08437 0.072162 20.1034 26.2692 1 2459325.7776389 473120255 147806.123439925 208.36024395548 789.100594554352 353.398756603618 142638.669021302 184.371036047017 778.860669998313 1.04904600359549 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 31 473 14 3 ZTF_g 1571325185515 0 2.5733 136.752 8.62953 26.2994 1.96844e-05 0.035517 -0.0233425 3.31688e-05 371 30. 0.082919 0.079823 19.9502 26.2994 1 2459325.8251852 473120155 148096.675735318 215.589883032589 764.137889237965 136.485236310549 156111.363742684 208.073539312899 755.323253876141 1.08476383337786 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 32 473 14 3 ZTF_r 1580272915515 0 2.2929 246.713 8.5534 26.2386 1.19122e-05 0.0279505 0.112352 1.8771e-05 397 30. 0.088203 0.081407 19.9646 26.2386 1 2459334.7729167 473120255 83470.8646889549 160.683259367281 577.85527348692 133.680226466624 82113.6821573578 150.047884621983 550.935607918458 1.06507834216452 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 33 473 14 3 ZTF_g 1582256435515 0 2.7626 136.648 4.38538 26.3179 1.24724e-05 0.0288094 -0.0555849 1.98603e-05 398 30. 0.090951 0.079727 20.6714 26.3179 1 2459336.7564352 473120155 69057.0619655479 141.939407261885 541.202645876097 80.4996976691175 71069.1718378801 126.075434653482 567.500139863213 1.07643675265965 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 34 473 14 3 ZTF_r 1582310545515 0 2.2627 237.546 5.33971 26.2109 8.7206e-06 0.0239687 0.107013 1.36567e-05 397 30. 0.084561 0.076172 20.4298 26.2109 1 2459336.810544 473120255 76693.1681226288 150.030371076336 568.633309273618 132.143900259221 76116.6947399236 133.104039676892 575.71013805727 1.05767546259164 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 35 473 14 3 ZTF_r 1584254825515 0 2.0044 240.463 6.48861 26.2237 1.01491e-05 0.025793 0.107809 1.58622e-05 398 30. 0.086005 0.065507 20.3518 26.2237 1 2459338.7548264 473120255 77480.1085740276 150.578197504957 572.377993149218 202.953106103473 75386.1010382865 135.345620504871 560.740942211576 1.04497250534154 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
