 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 397 11 1 ZTF_r 922462164115 0 1.6823 166.702 6.66917 26.2098 2.44107e-05 0.0273359 0.132055 3.77911e-05 192 30. 0.072367 0.074193 20.4873 26.2098 1 2458676.9621644 397120241 -5.2904265261064 24.3805533784397 -0.24138035936681 0.978104621318748 -34.6400780140043 48.5750694916464 -0.717927556201225 1.03631170814423 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 10 397 11 1 ZTF_g 923461864115 0 1.862 79.3163 5.00177 26.0919 2.74835e-05 0.0291608 -0.0405282 4.30823e-05 191 30. 0.074495 0.067956 20.5772 26.0919 3 2458677.9618634 397120141 3.15737308079935 22.1735960141893 0.158396132097092 0.964635975613667 -47.9640430241665 41.2466017821159 -1.17069240924662 1.06559032489705 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 11 397 11 1 ZTF_r 926437804115 0 2.2391 174.087 12.9163 26.2505 2.59002e-05 0.0280625 0.126843 4.03544e-05 191 30. 0.074204 0.067276 19.5368 26.2505 3 2458680.9378009 397120241 44.1562605956953 55.3876299807414 0.886817606070253 1.05449856735777 138.697882825637 96.6600592944316 1.44456792252849 1.04938023306507 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 12 397 11 1 ZTF_g 926459144115 0 2.4923 88.2532 14.2531 26.2237 7.28687e-05 0.0402798 -0.0412245 0.000157114 136 30. 0.069564 0.057252 19.3284 26.2237 1 2458680.9591435 397120141 -85.7227736459038 75.8082615507167 -1.25786628948611 0.938528012854575 -43.0852206009121 123.516749404875 -0.351170203632735 1.07821157840132 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 13 397 11 1 ZTF_r 927439884115 0 1.9921 176.447 13.5322 26.2521 2.9163e-05 0.0303181 0.135063 4.59552e-05 194 30. 0.067881 0.056642 19.5949 26.2521 3 2458681.9398843 397120241 -7.2632746143683 60.0090865096191 -0.134638805472672 1.08751440663379 -84.0219512357065 109.403357487884 -0.773174113242748 1.05137552744113 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 14 397 11 1 ZTF_g 927463134115 0 2.32 89.5822 15.491 26.234 8.40749e-05 0.0448602 -0.0168937 0.000192319 143 30. 0.063891 0.058924 19.3103 26.234 3 2458681.9631366 397120141 16.3498377394777 76.3127579147507 0.238325821650913 1.0082480708642 -42.5369301617956 128.076388651919 -0.334358419100787 1.07967617520084 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 15 397 11 1 ZTF_g 928480714115 0 2.0206 89.115 14.8741 26.2088 6.27262e-05 0.0394013 -0.0295252 0.000124938 151 30. 0.062103 0.057174 19.4269 26.2088 3 2458682.9807176 397120141 -26.922375401361 77.8469730966425 -0.384703773373507 0.884743769546969 -46.6249695943439 140.370817540617 -0.334392805210691 1.06420156802828 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 16 397 11 1 ZTF_r 929438554115 0 1.8304 174.734 12.7618 26.2641 1.99859e-05 0.0247718 0.129171 3.07603e-05 194 30. 0.064801 0.061333 19.734 26.2641 3 2458683.9385532 397120241 98.149196253969 50.3262432814335 2.16943696541854 1.07478642852956 86.4989384797452 97.6324593298784 0.891931990700815 1.04235606651127 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 17 397 11 1 ZTF_r 929439904115 0 1.9182 173.213 12.6413 26.2736 2.34771e-05 0.0267179 0.122935 3.6283e-05 192 30. 0.066047 0.064547 19.7233 26.2736 1 2458683.9399074 397120241 84.0976428327832 53.3821695264654 1.75243695982133 0.991424058586072 22.3248217880763 102.327540310135 0.219639607080925 1.04329509344431 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 18 397 11 1 ZTF_g 929479814115 0 2.1003 85.8612 15.4798 26.2343 6.02771e-05 0.0396043 -0.0759149 0.000123552 153 30. 0.071496 0.061114 19.3909 26.2343 1 2458683.9798148 397120141 281.204142233943 66.2595627651896 4.72093421912604 1.08782160864346 369.260260014374 118.463005167231 3.13808727531554 1.06197701801327 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
